rating_numerator,timestamp
10,2015-12-15 20:40:47
11,2015-12-15 17:51:44
12,2015-12-15 17:42:34
9,2015-12-15 17:11:09
10,2015-12-15 14:50:49
13,2015-12-15 04:19:18
12,2015-12-15 04:05:01
12,2015-12-15 03:36:42
9,2015-12-15 03:23:14
5,2015-12-15 02:23:26
8,2015-12-15 02:02:01
8,2015-12-15 01:32:24
12,2015-12-14 22:46:41
9,2015-12-14 20:17:59
11,2015-12-14 18:35:43
11,2015-12-14 16:34:00
10,2015-12-14 15:57:56
10,2015-12-14 04:52:55
8,2015-12-14 03:08:46
10,2015-12-14 01:58:31
9,2015-12-14 01:43:35
10,2015-12-14 00:07:50
10,2015-12-13 21:07:04
11,2015-12-13 18:10:33
3,2015-12-13 17:57:57
9,2015-12-13 17:21:08
10,2015-12-13 04:40:46
6,2015-12-13 04:14:39
10,2015-12-13 04:02:03
11,2015-12-13 03:21:34
11,2015-12-13 02:51:51
88,2015-12-13 01:41:41
10,2015-12-13 01:12:15
10,2015-12-12 23:41:18
11,2015-12-12 23:34:00
10,2015-12-12 22:04:39
11,2015-12-12 20:57:34
12,2015-12-12 18:13:51
12,2015-12-12 16:16:45
11,2015-12-12 16:02:36
10,2015-12-12 15:59:51
11,2015-12-12 04:35:48
10,2015-12-12 04:23:49
10,2015-12-12 03:47:46
12,2015-12-12 03:29:35
13,2015-12-12 02:23:01
11,2015-12-12 02:07:14
5,2015-12-12 01:12:54
12,2015-12-11 21:51:30
13,2015-12-11 17:51:04
12,2015-12-11 17:12:48
13,2015-12-11 16:40:19
13,2015-12-11 16:20:15
12,2015-12-11 15:19:21
10,2015-12-11 04:14:49
1,2015-12-11 03:21:23
12,2015-12-11 03:05:37
10,2015-12-11 02:56:28
7,2015-12-11 02:54:12
9,2015-12-11 02:49:59
5,2015-12-11 02:08:58
10,2015-12-11 00:44:07
8,2015-12-11 00:35:44
9,2015-12-11 00:26:12
11,2015-12-10 20:19:52
10,2015-12-10 18:12:05
10,2015-12-10 17:37:00
12,2015-12-10 17:24:21
13,2015-12-10 17:11:09
10,2015-12-10 04:18:42
11,2015-12-10 03:59:15
13,2015-12-10 03:30:58
13,2015-12-10 03:19:24
9,2015-12-10 03:11:43
8,2015-12-10 02:44:43
11,2015-12-10 02:15:47
12,2015-12-10 01:49:36
10,2015-12-10 01:37:23
12,2015-12-10 00:54:28
12,2015-12-10 00:47:23
10,2015-12-10 00:10:43
11,2015-12-09 23:58:35
10,2015-12-09 23:47:22
3,2015-12-09 20:40:38
9,2015-12-09 19:22:56
10,2015-12-09 18:59:46
5,2015-12-09 17:46:48
11,2015-12-09 17:38:19
12,2015-12-09 17:15:54
5,2015-12-09 16:52:27
13,2015-12-09 06:01:26
10,2015-12-09 04:36:06
9,2015-12-09 03:54:22
12,2015-12-09 02:56:22
10,2015-12-09 02:34:18
10,2015-12-09 02:09:56
8,2015-12-09 01:07:00
10,2015-12-08 23:36:44
8,2015-12-08 20:01:55
11,2015-12-08 18:17:56
10,2015-12-08 16:56:51
8,2015-12-08 16:47:50
2,2015-12-08 16:33:36
9,2015-12-08 16:21:41
10,2015-12-08 15:52:13
11,2015-12-08 04:27:30
11,2015-12-08 03:57:26
5,2015-12-08 03:09:46
10,2015-12-08 02:29:37
